"From (Date)","To (Date)","Town","Super (PMS)","Diesel (AGO)","Kerosene (IK)"
"15/03/2025","14/04/2025","Burgich","178.36","169.18","153.56"
"15/03/2025","14/04/2025","Sigor","178.5","169.32","153.7"
"15/03/2025","14/04/2025","Lodwar","181.11","171.94","156.31"
"15/03/2025","14/04/2025","Kakuma","182.82","173.65","158.03"
"15/03/2025","14/04/2025","Lokichar","180.04","170.87","155.24"
"15/03/2025","14/04/2025","Kalokol","181.93","172.76","157.13"
"15/03/2025","14/04/2025","Lokori","180.43","171.26","155.64"
"15/03/2025","14/04/2025","Lokitaung","185.03","175.85","160.23"
"15/03/2025","14/04/2025","Kapedo","179.65","170.48","154.86"
"15/03/2025","14/04/2025","Malaba","177.87","168.71","153.07"
"15/03/2025","14/04/2025","Lokichogio","184.1","174.93","159.3"
"15/03/2025","14/04/2025","Ziwa","176.83","167.66","152.03"
"15/03/2025","14/04/2025","Soy","176.62","167.45","151.82"
"15/03/2025","14/04/2025","Moi's Bridge","176.69","167.52","151.89"
"15/03/2025","14/04/2025","Turbo","176.56","167.4","151.77"
"15/03/2025","14/04/2025","Kibish","185.28","176.11","160.49"
"15/03/2025","14/04/2025","Nakalale","184.01","174.84","159.22"
"15/03/2025","14/04/2025","Loima","180.17","170.99","155.37"
"15/03/2025","14/04/2025","Lokiriama","181.85","172.68","157.05"
"15/03/2025","14/04/2025","Kainuk","178.85","169.67","154.05"
"15/03/2025","14/04/2025","Kacheliba","178.13","168.95","153.33"
"15/03/2025","14/04/2025","Kiwawa","178.78","169.6","153.98"
"15/03/2025","14/04/2025","Ortum","178.34","169.16","153.54"
"15/03/2025","14/04/2025","Kachibora","177.04","167.87","152.24"
"15/03/2025","14/04/2025","Kwanza","177.8","168.64","153"
"15/03/2025","14/04/2025","Kaplamai","177.07","167.9","152.27"
"15/03/2025","14/04/2025","Eldama Ravine","177.51","168.34","152.71"
"15/03/2025","14/04/2025","Tenges","177.67","168.5","152.87"
"15/03/2025","14/04/2025","Barwessa","177.79","168.62","152.99"
"15/03/2025","14/04/2025","Kipsaraman","178.77","169.59","153.97"
"15/03/2025","14/04/2025","Loruk","178.63","169.45","153.83"
"15/03/2025","14/04/2025","Kabartonjo","177.51","168.34","152.71"
"15/03/2025","14/04/2025","Tindiret","177.58","168.41","152.78"
"15/03/2025","14/04/2025","O'lessos","176.69","167.52","151.89"
"15/03/2025","14/04/2025","Kobujoi","177.12","167.95","152.33"
"15/03/2025","14/04/2025","Serem","177.21","168.04","152.41"
"15/03/2025","14/04/2025","Kabiyet","176.62","167.45","151.82"
"15/03/2025","14/04/2025","Cheptulu","177.09","167.91","152.28"
"15/03/2025","14/04/2025","Songor","177.67","168.5","152.87"
"15/03/2025","14/04/2025","Kapcherop","177.28","168.1","152.48"
"15/03/2025","14/04/2025","Sambalat","178.01","168.85","153.21"
"15/03/2025","14/04/2025","Arror","177.64","168.46","152.84"
"15/03/2025","14/04/2025","Tot","177.86","168.69","153.06"
"15/03/2025","14/04/2025","Kaptarakwa","176.83","167.66","152.03"
"15/03/2025","14/04/2025","Kapese","180","170.83","155.2"
"15/03/2025","14/04/2025","Kalemngorok","179.35","170.17","154.55"
"15/03/2025","14/04/2025","Marich","178.25","169.08","153.46"
"15/03/2025","14/04/2025","Alale","178.78","169.6","153.98"
"15/03/2025","14/04/2025","Kunyao","178.42","169.24","153.62"
"15/03/2025","14/04/2025","Asilong","177.97","168.8","153.18"
"15/03/2025","14/04/2025","Orolwo","178.01","168.85","153.21"
"15/03/2025","14/04/2025","Sebit","177.96","168.79","153.16"
"15/03/2025","14/04/2025","Morpus","177.86","168.69","153.06"
"15/03/2025","14/04/2025","Chepkorniswo","177.74","168.57","152.93"
"15/03/2025","14/04/2025","Kaibichbich","177.68","168.51","152.89"
"15/03/2025","14/04/2025","Keringet","177.39","168.22","152.59"
"15/03/2025","14/04/2025","Kisumu","176.62","167.44","151.82"
"15/03/2025","14/04/2025","Sondu","176.73","167.56","151.93"
"15/03/2025","14/04/2025","Oyugis","177.25","168.07","152.45"
"15/03/2025","14/04/2025","Kakamega","176.67","167.5","151.88"
"15/03/2025","14/04/2025","Mumias","176.97","167.79","152.17"
"15/03/2025","14/04/2025","Bondo","176.84","167.68","152.04"
"15/03/2025","14/04/2025","Siaya","176.98","167.8","152.18"
"15/03/2025","14/04/2025","Kericho","177.17","167.99","152.37"
"15/03/2025","14/04/2025","Nyamira","177.24","168.06","152.44"
"15/03/2025","14/04/2025","Kisii","177.56","168.39","152.77"
"15/03/2025","14/04/2025","Sotik","177.38","168.21","152.59"
"15/03/2025","14/04/2025","Keroka","177.57","168.41","152.78"
"15/03/2025","14/04/2025","Busia","177.55","168.38","152.75"
"15/03/2025","14/04/2025","Homabay","177.49","168.32","152.7"
"15/03/2025","14/04/2025","Migori","178.41","169.24","153.62"
"15/03/2025","14/04/2025","Isebania","178.72","169.54","153.92"
"15/03/2025","14/04/2025","Bomet","177.82","168.64","153.02"
